dev,dev_type,dev_loc,dev_abs,isi,no_tones,base_freq,freq_dev,freq_dev_type,freq_loc,freq_dev_no,trial_no,block_no,iti,freq_diff,freq_diff_abs
-13,early,5,13,700,7,220,"[440, 192, 392]","['higher', 'lower', 'higher']","[7, 3, 2]",3,46,3,2128,"[220, -28, 172]","[220, 28, 172]"
,,,,700,7,40000,,,,,47,3,2145,[False],[False]
36,late,6,36,700,7,392,"[220, 440]","['lower', 'higher']","[5, 3]",2,48,3,2058,"[-172, 48]","[172, 48]"
,,,,700,7,40000,,,,,49,3,2490,[False],[False]
0,on_time,6,0,700,7,192,[False],['standard'],[False],0,50,3,2097,[False],[False]
,,,,700,7,40000,,,,,51,3,2326,[False],[False]
-8,early,4,8,700,7,392,[192],['lower'],[6],1,52,3,2461,[-200],[200]
,,,,700,7,40000,,,,,53,3,2394,[False],[False]
125,late,5,125,700,7,220,"[392, 440, 192]","['higher', 'higher', 'lower']","[4, 3, 7]",3,54,3,2009,"[172, 220, -28]","[172, 220, 28]"
80,late,5,80,700,7,192,[False],['standard'],[False],0,55,3,2158,[False],[False]
,,,,700,7,40000,,,,,56,3,2262,[False],[False]
-48,early,4,48,700,7,392,[440],['higher'],[3],1,57,3,2007,[48],[48]
80,late,4,80,700,7,392,[False],['standard'],[False],0,58,3,2013,[False],[False]
,,,,700,7,40000,,,,,59,3,2078,[False],[False]
0,on_time,4,0,700,7,440,[220],['lower'],[3],1,60,3,2244,[-220],[220]
